tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,5E7x4jHWzymoUK3OR1JA-mIT79odV2ZifcmuFWfTVyJVLyU,deokdam,968,858,767,True,False,False,False
CHALLENGER,r50B4TlPooM3y59Q2FnDmqBZ12sPO82HRPSMZyjYscLLbjY,mingkey98,967,303,188,False,False,False,False
CHALLENGER,l8h7WAyPQc7DNE_T-aFFE2t6Mkn_eRVUfWUZ_6sevBwTi0Y,9Revir,963,338,231,True,False,False,False
CHALLENGER,9puXz1XIMpEA_aXFNTLGgqYBEMOpy19tPpJQ9GDX-sh8tg,급하게하지마세요,962,333,267,False,False,False,False
CHALLENGER,28TP6Gcbc_iGA64BvlANMqUGcE5ZLYL9jrSsIZi9Uy7vVYA,아라가키 유이,960,559,475,True,False,False,True
CHALLENGER,fDgjweugm_O786XkV9sj8Ar5ScmYY9_dBtza9zf1ZIsx2To,7 5,955,597,504,False,False,False,True
CHALLENGER,a0R0YU5NQBaw_xgQk_53d4dZ_1YB5Z7dicEp_71J5czsNJ4,길이 무거웠다,945,510,382,True,False,False,False
CHALLENGER,-AIrkw9vBAYopBvm6CrJ6dmibrKOVYxi6ljpzhrJ37E2m9A,RingFitAdventure,944,284,170,False,False,False,False
CHALLENGER,4XpgJ8XaFGYiVovRyGp9UoX9Ac_eyx6YA41-RuC2bqiEow,나는대포너는머포,942,295,231,True,False,False,False
CHALLENGER,Vao8U7YOen-tg8IWR-OrEXGZMe9GqFhZPg4aAtMYGooaIg,daydayupup,941,459,444,False,False,False,False
CHALLENGER,Zpq3OFzOSnvO-d3FyPQjss0dGwqdaXLCl4R98NrgPjiHQP8,창모릴러애쉬효은,939,574,507,True,False,False,True
CHALLENGER,CgUi92gzNzzVvrm3at_mwa_EQOsATLm03VDRoXUuzPCCSyc,엘 림,939,624,559,False,False,False,False
CHALLENGER,Fy4dRAlGVaIyw6fijHIFnT_bu0a3-rGcI7jaoSQrsPyJPB0,손연우 남자친구,937,283,268,True,False,False,True
CHALLENGER,pGIMlnn_2Anhsu9IqjIg9Z-qrYIoErC6-sxGMkGT2iLkTw,znhy,937,297,247,False,False,True,False
CHALLENGER,4pGxgLFBUqbsxF1NbX0WW5L65ZC4sa53QGIpEGxxpq5oHVM,이족보행돼지탱크,935,875,807,True,False,False,False
CHALLENGER,DNfpaWi6a9Ch_5wrrg0BxKmUc5A9E_dZwbAM2UkjoYzrEg,Naehyun,933,753,694,True,False,False,False
CHALLENGER,O-jUlwmWu7E3pFBNQoD6Qu1wVDWVHTfYVr9-4i9y1vDyeBs,ten10,932,519,382,True,False,False,False
CHALLENGER,6lj4h6y5rIwLZ0tBHq5I4Vpjgux74l5UTffS8Q3kZcDMHyY,Vlbra,931,713,658,True,False,False,False
CHALLENGER,ZGqUcstPJJ2xSHF7DCWCB0xa47EL0coDWbUhi9KTK3daUdM,sanspareil98,931,484,375,True,False,False,False
CHALLENGER,mLHuYQrb3jmcbVw6cc7FZNLnZendTo5Va6FyVmOGhZ074wQ,T1 Closer,926,478,433,False,False,False,False
CHALLENGER,y5kbFLiLivJBjoflw3Krt6r3nO3-ymDqvrlT4gaCpaDRZ8Q,TL Fengge,926,534,399,True,False,False,False
CHALLENGER,H17fz5nkasdgVkNt36lTjqNnlz10v9fTPq2Ulr9LabkVklA,T1 BurdoI,924,607,539,True,False,False,False
CHALLENGER,btWNEPWrikM8GaK3dw0sUKDQCmCt2_pgFr2oxYG9L6-l1iI,미드차이 어쩔래,924,823,779,False,False,False,True
CHALLENGER,ySflm-RUxcl2tKxyRhG5G2R3Jz6NqEsU-mV0sISJqa_6L2g,비색 유리,924,396,289,True,False,False,False
CHALLENGER,f2E9kHlrznrKV1tO7N6U6jZU-aj6YWaY3JmQKfXQTnia_SE,SpongeBOB1,924,674,652,False,False,False,False
CHALLENGER,ts9GH1Wgk77Be1CAszir4DI5Wl4K0W-KcckwdRPR0p18EnY,아이유칼,924,693,651,True,False,False,False
CHALLENGER,4DaHpTuKVVxPFuFoFL1dY-3rIyRnSUPs6dpKeWVspk5QehA,미나모토 치세,923,554,482,False,False,False,False
CHALLENGER,XFhFmfEwY0ETJcJeV5WSHHC80qdMLVduYjC3826ePk0tSM8,DRX BAO,921,401,292,False,False,False,False
