tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,8bZQLlDrsjgvOqNiFXXRIZ_oJ3jbmuw3eAQjEAWERdeWWoU,Gen G 정재,543,1390,1371,True,False,False,False
GRANDMASTER,DEx59XBS6UHqAMWDOIDkoHM4mS3ew2jXeta60C1JF5uoY7k,Wwing,542,528,424,False,False,True,False
GRANDMASTER,b4LMrJfQTsgLOfeXZIJa0nh2grglSyk9t2CvYqJTOLhNge0,NOsFerus,542,308,246,False,False,False,False
GRANDMASTER,69XwvJ5rKQUum8rfZjfTGQGwfR4XVlJMCaWwxqOSJ8m34Mw,오 대 관,541,943,870,False,False,True,False
GRANDMASTER,S1KhbHcppR052xUap99mkNHNPfLnz3-9qkqPzAgzA6hJV-c,신강 베스트 폭도,541,1157,1153,True,False,False,False
GRANDMASTER,oXJISRGlONWzS-ZaOn1DnQBImbh-uoggeL5W5i3DJHrVkA,잼라기,540,250,267,True,False,False,False
GRANDMASTER,w_GA9kjb8P5wn_JOnGKSqydt-Lp98VJDVA0fn6iuz-Ls9Uk,ryzingstar,539,1208,1201,True,False,False,False
GRANDMASTER,vdN3W6xapbv9qQFNW2mFXMHDXcBUYspE76YE5hTCrZNkAX8,Noisave,539,510,496,False,False,False,False
GRANDMASTER,IjcPCBlzQC5Oz8dwKpVessd_pj4vGqgDh1dqY7x7Pqd32fo,우울해서만든아디,538,499,407,False,False,False,False
GRANDMASTER,wl3eWCXwovtgqesro6paNlEXQSH8_w20zN974Ltq07gkVQ,poiuytzxcmnbv,536,601,608,True,False,False,False
GRANDMASTER,158eLmn6NkejKbHCl74NoO6ZLqL556TY8DacqbTC4vqjHYg,TaylorSwift98,536,502,448,True,False,False,False
GRANDMASTER,W9cdYZeXxlU_vXDx6fVx9B-evazW4bOjQrP4qySy1dCHtRk,zxcvzxcvzxcvzx1,535,692,699,False,False,False,False
GRANDMASTER,EfomiO1IkISiBEc_R9AxAOiEJwS_L-f-SCZWbGuslleo608,버스메이커,535,395,335,False,False,False,False
GRANDMASTER,q3dFUiQxZEzbl56ZTVHNwSqtGHvxY6wcijR4Hx3YfzKv_BA,양금초,534,474,475,True,False,False,False
GRANDMASTER,XSgmxRzoYWfhYMXkL0brCtlkishLVpdUS7mxcwhcpL7H6aY,yiquanchaoren,534,963,929,False,False,False,False
GRANDMASTER,PWajQ5eRbOFhQltvk537TqqKMZdmKW8BvLxMoM2vCJNjeNw,DRX IlllIma,533,528,477,False,False,False,False
GRANDMASTER,7YDi3IG0NBRaB9LLv-_yMfH7kJTSugza5yqJXHMiyyM1xvE,BRION CROCO,533,430,377,True,False,False,False
GRANDMASTER,eFxAemhP1b5C5qzsrDAtE8YAOuO5S_dPqML3yxp5muvLJYw,쉔글벙글,533,637,618,False,False,False,False
GRANDMASTER,A9MYZkznwqpoZESy6yNGhUIAZ47xF5gqHzJlqtaV75cXn4I,배려 양보 규칙,533,639,586,True,False,False,False
GRANDMASTER,qE1kfB8LhZeDEvvjZRKfAB-HMv_oR5Egi1i8A1pHdDjFjfE,drxdantalian,532,1020,983,False,False,False,False
GRANDMASTER,Rw2V_ggI_Y3sf6wLEl8lAOyP4u7xM9JdNnROewVsEqpWzgw,sai1to asukA,532,326,250,False,False,False,True
